Organization Name,URL,Search Results
NORTHERN MAINE COMMUNITY COLLEGE FOUNDATION,https://www.nmcc.edu/beyond-nmcc/support-nmcc/,"missions & Financial Aid Admissions Application Process Apply to NMCC International Students Nursing Application Process Placement Testing Transfer to NMCC Veterans Prior Learning Paying for College Financial Aid Scholarships Tuition & Fees More than 78% of NM students receive some form of financial aid. Fill out your FAFSA now! FAFSA App Student Life Life at NMCC Dining Housing On-Campus Activities Organizations Student Senate Esports Resources Akeley Student Center Bookstore Counseling Student Handbook 2024-2025 (Most Current) Student Handbook 2023-2024 Affordable suites, traditional double-size rooms and single units available, next to the dining commons. Apply About NMCC The Campus Office of the"
AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,https://www.aauw.org/about/,"mission Gender Equity & Economic Security We’ve led the fight for fair pay and economic opportunity for women — and the battle continues: Women still get just 83 cents for every dollar paid to a man, and men continue to dominate the top roles and highest-paying professions. Our Values Intersectional. Inclusive. Intergenerational. Empowering. Though we are nonpartisan, we are not values-neutral: We fight to remove the barriers and biases that stand in the way of gender equity. We train women to negotiate for pay and benefits and to pursue leadership roles. And we advocate for federal, state and local laws"
UNIVERSITY OF MAINE FOUNDATION,https://umainefoundation.org/about-the-foundation/mission-statement/,Mission Statement - University of Maine Foundation 207.581.5100 umainefoundation@maine.edu Facebook Instagram Facebook Instagram Foundation Staff Contact Information Giving Options Types of Gifts Cash Appreciated Securities Real Estate/Property Life Insurance Retirement Plan Assets IRA Qualified Charitable Distributions Charitable Lead Trust Life Income Plans Gift Annuities Remainder Trusts Pooled Income Funds Bequest/Estate Gift Establishing Endowed Funds Creating a Scholarship Donor-Advised Funds Memorial/Honorary Giving Employer Matching Gifts Recurring Gifts Planned Giving Major Gifts Reunion Giving Annual Fund Employee Giving Campaign Maine Day of Giving Class Giving Crowdfunding Endowed Funds Funds List Investment Policies/Performance Establishing a Fund About About the Foundation President’s Message Board
AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,https://www.aauw.org/about/,"mission Gender Equity & Economic Security We’ve led the fight for fair pay and economic opportunity for women — and the battle continues: Women still get just 83 cents for every dollar paid to a man, and men continue to dominate the top roles and highest-paying professions. Our Values Intersectional. Inclusive. Intergenerational. Empowering. Though we are nonpartisan, we are not values-neutral: We fight to remove the barriers and biases that stand in the way of gender equity. We train women to negotiate for pay and benefits and to pursue leadership roles. And we advocate for federal, state and local laws"
AMERICAN ASSOCIATION OF UNIVERSITY WOMEN INC,https://www.aauw.org/about/,"mission Gender Equity & Economic Security We’ve led the fight for fair pay and economic opportunity for women — and the battle continues: Women still get just 83 cents for every dollar paid to a man, and men continue to dominate the top roles and highest-paying professions. Our Values Intersectional. Inclusive. Intergenerational. Empowering. Though we are nonpartisan, we are not values-neutral: We fight to remove the barriers and biases that stand in the way of gender equity. We train women to negotiate for pay and benefits and to pursue leadership roles. And we advocate for federal, state and local laws"
AMERICAN ASSOCIATION OF UNIVERSITY WOMEN INC,https://www.aauw.org/about/,"mission Gender Equity & Economic Security We’ve led the fight for fair pay and economic opportunity for women — and the battle continues: Women still get just 83 cents for every dollar paid to a man, and men continue to dominate the top roles and highest-paying professions. Our Values Intersectional. Inclusive. Intergenerational. Empowering. Though we are nonpartisan, we are not values-neutral: We fight to remove the barriers and biases that stand in the way of gender equity. We train women to negotiate for pay and benefits and to pursue leadership roles. And we advocate for federal, state and local laws"
GRANITE EDVANCE CORPORATION,https://graniteedvance.org/,mission is to help New Hampshire students of all ages and backgrounds navigate your education and career pathways. We want to help you achieve your goals. Get started Fund Your Future Higher education and job training can be a big financial investment. We’ll help you find the funds you need to turn your dreams into reality. Get started Event Destination College Destination College is a free annual statewide college planning event held each spring for New Hampshire high school juniors and their families. Register now See all events Loans Granite Edvance Student Loans Do you live in New Hampshire? Great
UNIVERSITY OF NEW HAMPSHIRE FOUNDATION INCORPORATED,https://www.unh.edu/give/,"mission as a land-grant university is to help improve the lives of New Hampshire residents and strengthen the state’s resources and economy. This is where the Extension’s statewide innovative educational programming and volunteerism come in. Your gift supports these efforts — and helps the Granite State thrive. Make A Gift 4-H Foundation of New Hampshire 4-H Foundation of New Hampshire Think we are just homemade jam and prize-winning sheep? Think again. Through the 4-H program, children and adolescents acquire knowledge, learn how to collaborate and develop the self-confidence they need to navigate adulthood. Gifts to the 4-H Foundation help transform"
DIXON MONTISSORI CHARTER SCHOOL,http://www.dixonmontessori.org/about-our-school.html,"Mission Dixon Montessori Charter School students will achieve their individual greatest potential in a nurturing environment that inspires discovery, academic excellence, and positive social contribution Vision Confident in their individual strengths and skills and with a passion for exploration, Dixon Montessori Charter School students enthusiastically strive to be their best and positively impact the world around them. Motto Dixon Montessori Charter School: Igniting the love of learning Values Collaboration Integrity Sustainability Enthusiasm Innovation Our school is a TK-8 community dedicated exclusively to students and learning. DMCS emphasizes academic excellence and discovery within an environment that nurtures each student to achieve"
JEAN & RUTH ASELTINE FUND,https://www.guidestar.org/Profile/91-1916623,"Mission This organization has not provided GuideStar with a mission statement. Ruling year info 1997 Main address PO Box 320 St Albans, VT 05478 Contact Information × Close EIN 91-1916623 Subject area info Education × Subject area Education Close NTEE code info Education N.E.C. (B99) IRS subsection 501(c)(3) Private Nonoperating Foundation IRS filing requirement This organization is required to file an IRS Form 990-PF. Is this your nonprofit? Update Now Why claim your profile? Learn about benefits Programs and results What we aim to solve This profile needs more info. If it is your nonprofit, add a problem overview. Update"
